awg_areacalc_run_dtg,awg_areacalc_forecast_dtg,awg_element_id,awg_areacalc_val
"2018-01-15 00:00:00","2018-02-15 06:00:00",tt,4.4
"2018-01-15 00:00:00","2018-02-15 12:00:00",tt,4.4
"2018-01-15 00:00:00","2018-02-15 18:00:00",tt,3.9
"2018-01-15 00:00:00","2018-02-16 00:00:00",tt,3.1
"2018-01-15 00:00:00","2018-02-16 06:00:00",tt,2.8
"2018-01-15 00:00:00","2018-02-16 12:00:00",tt,2.5
"2018-01-15 00:00:00","2018-02-16 18:00:00",tt,3.4
"2018-01-15 00:00:00","2018-02-17 00:00:00",tt,-300.0
"2018-01-15 00:00:00","2018-02-17 06:00:00",tt,5.2
"2018-01-15 00:00:00","2018-02-17 12:00:00",tt,5.9
"2018-01-15 00:00:00","2018-02-17 18:00:00",tt,6.5
"2018-01-15 00:00:00","2018-02-18 00:00:00",tt,6.9
"2018-01-15 00:00:00","2018-02-18 06:00:00",tt,7.7
"2018-01-15 00:00:00","2018-02-18 12:00:00",tt,8.8
"2018-01-15 00:00:00","2018-02-18 18:00:00",tt,8.9
"2018-01-15 00:00:00","2018-02-19 00:00:00",tt,8.9
"2018-01-15 00:00:00","2018-02-19 06:00:00",tt,8.8
"2018-01-15 00:00:00","2018-02-19 12:00:00",tt,8.4
"2018-01-15 00:00:00","2018-02-19 18:00:00",tt,8.3
"2018-01-15 00:00:00","2018-02-20 00:00:00",tt,8.5
"2018-01-15 00:00:00","2018-02-20 06:00:00",tt,8.5
"2018-01-15 00:00:00","2018-02-20 12:00:00",tt,8.5
"2018-01-15 00:00:00","2018-02-20 18:00:00",tt,8.3
"2018-01-15 00:00:00","2018-02-21 00:00:00",tt,7.2
"2018-01-15 00:00:00","2018-02-21 06:00:00",tt,6.0
"2018-01-15 00:00:00","2018-02-21 12:00:00",tt,5.4
"2018-01-15 00:00:00","2018-02-21 18:00:00",tt,4.8
"2018-01-15 00:00:00","2018-02-22 00:00:00",tt,4.4
"2018-01-15 00:00:00","2018-02-22 06:00:00",tt,4.5
"2018-01-15 00:00:00","2018-02-22 12:00:00",tt,4.2
"2018-01-15 00:00:00","2018-02-22 18:00:00",tt,4.3
"2018-01-15 00:00:00","2018-02-23 00:00:00",tt,4.8
"2018-01-15 00:00:00","2018-02-23 06:00:00",tt,4.9
"2018-01-15 00:00:00","2018-02-23 12:00:00",tt,4.9
"2018-01-15 00:00:00","2018-02-23 18:00:00",tt,4.9
